,title,year,advisory,movie_length,genre,rating,description,metascore
70,Joker,2019,R,2h 2m,CrimeDramaThriller,8.4,A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,59
71,Amadeus,1984,PG,2h 40m,BiographyDramaMusic,8.4,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered h... Read allThe life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",88
72,Toy Story,1995,G,1h 21m,AnimationAdventureComedy,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,95
73,Inglourious Basterds,2009,R,2h 33m,AdventureDramaWar,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",69
74,Braveheart,1995,R,2h 58m,BiographyDramaHistory,8.4,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,68
75,Coco,2017,PG,1h 45m,AnimationAdventureComedy,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",81
76,The Boat,1981,8.4,DirectorWolfgang Petersen,DramaWar,8.4,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic world of a submariner in World War II.A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic world of a submariner in World War II.A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic world of a submariner in World War II.,86
77,Top Gun: Maverick,2022,PG-13,2h 10m,ActionDrama,8.4,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ... Read allAfter thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",78
78,Avengers: Endgame,2019,PG-13,3h 1m,ActionAdventureDrama,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' action... Read allAfter the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",78
79,Princess Mononoke,1997,PG-13,2h 14m,AnimationActionAdventure,8.4,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, th... Read allOn a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",76
80,Once Upon a Time in America,1984,R,3h 49m,CrimeDrama,8.3,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",75
81,Good Will Hunting,1997,R,2h 6m,DramaRomance,8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",70
82,Your Name.,2016,TV-PG,1h 46m,AnimationDramaFantasy,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",79
83,Requiem for a Dream,2000,Unrated,1h 42m,Drama,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,68
84,Toy Story 3,2010,G,1h 43m,AnimationAdventureComedy,8.3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned ... Read allThe toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",92
85,Singin' in the Rain,1952,G,1h 43m,ComedyMusicalRomance,8.3,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,99
86,3 Idiots,2009,PG-13,2h 50m,ComedyDrama,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t... Read allTwo friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",67
87,High and Low,1963,Not Rated,2h 23m,CrimeDramaMystery,8.4,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,90
88,Star Wars: Episode VI - Return of the Jedi,1983,PG,2h 11m,ActionAdventureFantasy,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark... Read allAfter a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",58
89,2001: A Space Odyssey,1968,G,2h 29m,AdventureSci-Fi,8.3,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 900... Read allAfter uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.",84
90,Eternal Sunshine of the Spotless Mind,2004,R,1h 48m,DramaRomanceSci-Fi,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",89
91,Reservoir Dogs,1992,R,1h 39m,CrimeThriller,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",79
92,Capernaum,2018,R,2h 6m,Drama,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",75
93,The Hunt,2012,R,1h 55m,Drama,8.3,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to... Read allA teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",77
94,Citizen Kane,1941,PG,1h 59m,DramaMystery,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",100
95,Lawrence of Arabia,1962,Approved,3h 38m,AdventureBiographyDrama,8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",100
96,M,1931,Passed,1h 39m,CrimeMysteryThriller,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",100
97,Come and See,1985,Not Rated,2h 22m,DramaThrillerWar,8.4,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",100
98,North by Northwest,1959,Approved,2h 16m,ActionAdventureMystery,8.3,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",98
99,Vertigo,1958,PG,2h 8m,MysteryRomanceThriller,8.3,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply dis... Read allA former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",100
100,Amélie,2001,R,2h 2m,ComedyRomance,8.3,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",69
101,A Clockwork Orange,1971,X,2h 16m,CrimeSci-Fi,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",77
102,The Apartment,1960,Approved,2h 5m,ComedyDramaRomance,8.3,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",94
103,Double Indemnity,1944,Passed,1h 47m,CrimeDramaFilm-Noir,8.3,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigato... Read allA Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",95
104,Full Metal Jacket,1987,R,1h 56m,DramaWar,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,76
105,Ikiru,1952,Not Rated,2h 23m,Drama,8.3,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,91
106,Hamilton,2020,PG-13,2h 40m,BiographyDramaHistory,8.4,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the origi... Read allThe real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",90
107,Scarface,1983,R,2h 50m,CrimeDrama,8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",65
108,The Sting,1973,PG,2h 9m,ComedyCrimeDrama,8.3,Two grifters team up to pull off the ultimate con.Two grifters team up to pull off the ultimate con.Two grifters team up to pull off the ultimate con.,83
109,To Kill a Mockingbird,1962,Approved,2h 9m,CrimeDrama,8.3,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",88
110,Heat,1995,R,2h 50m,ActionCrimeDrama,8.3,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,76
111,Up,2009,PG,1h 36m,AnimationAdventureComedy,8.3,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",88
112,Taxi Driver,1976,R,1h 54m,CrimeDrama,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",94
113,Incendies,2010,R,2h 11m,DramaMystery,8.3,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,80
114,Metropolis,1927,Not Rated,2h 33m,DramaSci-Fi,8.3,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a... Read allIn a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",98
115,A Separation,2011,PG-13,2h 3m,Drama,8.3,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzhei... Read allA married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,95
116,L.A. Confidential,1997,R,2h 18m,CrimeDramaMystery,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",90
117,Snatch,2000,R,1h 42m,ComedyCrime,8.2,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",55
118,Bicycle Thieves,1948,Not Rated,1h 29m,Drama,8.3,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",55
119,Die Hard,1988,R,2h 12m,ActionThriller,8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,72
120,Indiana Jones and the Last Crusade,1989,PG-13,2h 7m,ActionAdventure,8.2,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to s... Read allIn 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",65
121,1917,2019,R,1h 59m,ActionDramaWar,8.2,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from wa... Read allApril 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",78
122,Like Stars on Earth,2007,PG,2h 45m,DramaFamily,8.4,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",78
123,Downfall,2004,R,2h 36m,BiographyDramaHistory,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",82
124,For a Few Dollars More,1965,R,2h 12m,Western,8.2,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,74
125,Batman Begins,2005,PG-13,2h 20m,ActionCrimeDrama,8.2,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",70
126,Dangal,2016,Not Rated,2h 41m,ActionBiographyDrama,8.3,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,70
127,The Kid,1921,Passed,1h 8m,ComedyDramaFamily,8.3,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.The Tramp cares for an abandoned child, but events put their relationship in jeopardy.The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",70
128,Some Like It Hot,1959,Passed,2h 1m,ComedyMusicRomance,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",98
129,All About Eve,1950,Passed,2h 18m,Drama,8.2,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,98
130,The Father,2020,PG-13,1h 37m,DramaMystery,8.2,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his... Read allA man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",88
131,Green Book,2018,PG-13,2h 10m,BiographyComedyDrama,8.2,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,69
132,The Wolf of Wall Street,2013,R,3h,BiographyComedyCrime,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",75
133,Judgment at Nuremberg,1961,Approved,2h 59m,DramaWar,8.3,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",60
134,Ran,1985,R,2h 42m,ActionDramaWar,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn o... Read allIn Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",96
135,Casino,1995,R,2h 58m,CrimeDrama,8.2,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fas... Read allA tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",73
136,Pan's Labyrinth,2006,R,1h 58m,DramaFantasyWar,8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",98
137,Unforgiven,1992,R,2h 10m,DramaWestern,8.2,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",85
138,There Will Be Blood,2007,R,2h 38m,Drama,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",93
139,Spider-Man: No Way Home,2021,PG-13,2h 28m,ActionAdventureFantasy,8.3,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it trul... Read allWith Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",71
